symbol,date,bias,open,high,low,close,volume,scenario
BTC,2023-01-01,bullish,16500,16800,16400,16700,1234567,1
BTC,2023-01-02,bearish,16700,16750,16500,16550,987654,2
BTC,2023-01-03,neutral,16550,16600,16500,16550,654321,9
BTC,2023-01-04,bullish,16550,16800,16500,16750,1456789,1
BTC,2023-01-05,bearish,16750,16800,16400,16450,1123456,5
ETH,2023-01-01,neutral,1200,1220,1190,1210,2345678,9
ETH,2023-01-02,bullish,1210,1250,1200,1240,3456789,1
ETH,2023-01-03,bearish,1240,1245,1200,1210,1987654,2
SOL,2023-01-01,bullish,15.50,16.00,15.20,15.80,4567890,1
SOL,2023-01-02,neutral,15.80,16.00,15.50,15.70,2345678,9
XRP,2023-01-01,bearish,0.35,0.36,0.33,0.34,5678901,5
XRP,2023-01-02,bullish,0.34,0.37,0.34,0.36,6789012,7

